sensible_heat,latent_heat,ground_temperature,rain_energy,outgoing_long_wave_radiation,incoming_long_wave_radiation,net_long_wave_radiation,reflected_short_wave_radiation,incoming_short_wave_radiation,net_short_wave_radiation,parametrized_albedo,incoming_short_wave_on_horizontal,direct_incoming_short_wave,diffuse_incoming_short_wave,air_temperature,surface_temperature(mod),bottom_temperature,relative_humidity,wind_velocity,wind_velocity_drift,wind_direction,solid_precipitation_rate,snow_height(mod),snow_height(meas),hoar_size,24h_height_of_new_snow,3d_sum_of_daily_height_of_new_snow,snow_water_equivalent,total_amount_of_water,rain_rate,virtual_lysimeter,sublimation_mass,evaporated_mass,stability_class,z_Sdef,deformation_rate_stability_index,z_Sn38,natural_stability_index,z_Sk38,Sk38_skier_stability_index,z_SSI,structural_stability_index
122.654,130.588,-0.15,0.0,308.673,290.052,-24.415,0.0,0.0,0.0,0.2,0.0,0.0,0.0,10.52,-0.15,-0.15,94.1,1.1,1.1,357.0,0.0,0.0,116800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0
-43.94,62.179,14.85,-16.251,382.312,276.783,-111.059,0.0,0.0,0.0,0.2,0.0,0.0,0.0,8.19,14.85,14.85,100.0,0.9,0.9,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.096,0.0,0.0,0.0,-1.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0
-809.985,-1428.523,14.85,-12.145,380.549,275.325,-110.723,0.0,0.0,0.0,0.2,0.0,0.0,0.0,7.7,14.85,14.85,100.0,1.3,1.3,158.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.567,0.0,0.0,0.0,-1.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0
-561.243,-994.933,13.85,-5.467,382.987,273.681,-114.773,0.0,0.0,0.0,0.2,0.0,0.0,0.0,7.73,13.85,13.85,100.0,2.2,2.2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.653,0.0,0.0,0.0,-1.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0
-611.833,-1052.614,15.85,-1.921,375.743,274.362,-106.862,2.8,14.0,11.2,0.2,14.0,0.0,14.0,7.98,15.85,15.85,100.0,2.2,2.2,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.303,0.0,0.0,0.0,-1.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0
-1068.176,-2081.836,13.725,-2.003,394.161,279.593,-120.154,32.242,161.208,128.967,0.2,161.208,0.0,161.208,8.6,13.725,13.725,100.0,3.4,3.4,126.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.219,0.0,0.0,0.0,-1.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0
-1161.547,-2039.911,16.835,-24.1,391.23,280.758,-116.08,121.893,609.467,487.574,0.2,226.583,576.16,33.308,8.82,16.835,16.835,100.0,5.0,5.0,143.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.634,0.0,0.0,0.0,-1.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0
-1276.344,-2406.662,17.71,-20.641,389.124,303.993,-91.204,65.648,328.241,262.592,0.2,146.083,278.136,50.104,8.57,17.71,17.71,100.0,3.4,3.4,139.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.426,0.0,0.0,0.0,-1.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0
-1981.328,-4312.121,23.015,-29.453,413.235,315.899,-103.647,4.481,22.405,17.924,0.2,21.458,1.872,20.533,8.18,23.015,23.015,100.0,4.5,4.5,143.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.174,0.0,0.0,0.0,-1.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0
-1501.322,-3136.763,16.85,-9.772,403.132,277.288,-131.383,0.0,0.0,0.0,0.2,0.0,0.0,0.0,8.25,16.85,16.85,100.0,2.8,2.8,168.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.874,0.0,0.0,0.0,-1.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0
-988.014,-1793.665,13.88,-9.985,384.87,275.763,-114.615,0.0,0.0,0.0,0.2,0.0,0.0,0.0,7.91,13.88,13.88,100.0,3.3,3.3,159.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.172,0.0,0.0,0.0,-1.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0
-997.361,-1741.547,15.85,-5.165,385.664,274.652,-116.498,0.0,0.0,0.0,0.2,0.0,0.0,0.0,7.8,15.85,15.85,100.0,3.6,3.6,148.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.586,0.0,0.0,0.0,-1.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0
-1488.172,-2640.243,19.32,-6.512,386.468,271.592,-120.301,1.658,8.292,6.633,0.2,8.292,0.0,8.292,6.79,19.32,19.32,100.0,4.4,4.4,137.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.719,0.0,0.0,0.0,-1.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0
-2003.18,-4109.051,22.748,-5.188,407.225,271.475,-141.173,23.258,116.292,93.033,0.2,116.292,0.0,116.292,7.98,22.748,22.748,100.0,2.1,2.1,176.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.0,0.0,0.0,-1.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0
-2492.777,-5803.865,17.605,-9.411,423.161,277.705,-151.003,120.318,601.591,481.273,0.2,224.0,568.663,32.928,8.36,17.605,17.605,100.0,5.0,5.0,147.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.615,0.0,0.0,0.0,-1.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0
-2193.951,-4554.057,22.605,-31.189,412.376,300.627,-117.754,66.647,333.236,266.589,0.2,144.792,286.171,47.065,8.61,22.605,22.605,100.0,4.3,4.3,161.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.234,0.0,0.0,0.0,-1.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0
-1780.174,-3891.678,16.461,-19.894,409.064,316.327,-99.056,4.16,20.799,16.639,0.2,20.292,1.007,19.792,8.5,16.461,16.461,100.0,3.7,3.7,138.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.553,0.0,0.0,0.0,-1.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0
-1146.486,-2198.86,17.263,-17.495,393.299,278.432,-120.429,0.0,0.0,0.0,0.2,0.0,0.0,0.0,8.39,17.263,17.263,100.0,3.0,3.0,142.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.775,0.0,0.0,0.0,-1.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0
-1250.608,-2454.038,18.075,-18.033,397.697,277.786,-125.46,0.0,0.0,0.0,0.2,0.0,0.0,0.0,8.3,18.075,18.075,100.0,1.9,1.9,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.646,0.0,0.0,0.0,-1.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0
-1700.762,-3573.225,14.85,-43.526,407.373,276.413,-136.482,0.0,0.0,0.0,0.2,0.0,0.0,0.0,8.01,14.85,14.85,100.0,3.7,3.7,149.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.136,0.0,0.0,0.0,-1.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0
-794.307,-1425.379,11.85,-4.924,375.518,273.899,-107.09,1.525,7.625,6.1,0.2,7.625,0.0,7.625,7.77,11.85,11.85,100.0,3.6,3.6,109.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.766,0.0,0.0,0.0,-1.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0
-1265.344,-2582.875,24.765,-14.276,392.032,276.158,-121.391,23.125,115.625,92.5,0.2,115.625,0.0,115.625,8.68,24.765,24.765,100.0,2.0,2.0,173.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.37,0.0,0.0,0.0,-1.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0
-2331.669,-5654.364,16.85,-31.564,414.573,279.875,-140.289,97.313,486.564,389.251,0.2,189.75,445.503,41.061,8.96,16.85,16.85,100.0,4.4,4.4,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.202,0.0,0.0,0.0,-1.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0
-1070.246,-2195.732,10.85,-14.876,386.415,310.44,-82.177,56.298,281.489,225.191,0.2,123.042,238.175,43.314,8.75,10.85,10.85,100.0,4.5,4.5,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.891,0.0,0.0,0.0,-1.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0
-629.07,-1011.603,14.85,-5.622,371.053,315.465,-61.89,2.486,12.432,9.946,0.2,12.292,0.268,12.164,7.88,14.85,14.85,100.0,4.6,4.6,144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.365,0.0,0.0,0.0,-1.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0
-543.166,-976.384,10.85,-3.821,364.087,274.421,-95.148,0.0,0.0,0.0,0.2,0.0,0.0,0.0,7.79,10.85,10.85,100.0,4.6,4.6,144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.92,0.0,0.0,0.0,-1.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0
8.804,-108.074,-0.15,0.0,308.673,222.528,-90.59,0.0,0.0,0.0,0.2,0.0,0.0,0.0,-0.02,-0.15,-0.15,86.1,1.4,1.4,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0
23.984,-115.354,-0.15,0.0,308.673,222.749,-90.374,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.43,-0.15,-0.15,78.2,1.7,1.7,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0
-21.561,-123.157,-0.15,0.0,308.673,219.832,-93.233,0.0,0.0,0.0,0.2,0.0,0.0,0.0,-0.99,-0.15,-0.15,90.9,1.4,1.4,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0
-11.399,-127.177,-0.15,0.0,308.673,232.76,-80.563,0.296,1.479,1.183,0.2,1.458,0.029,1.45,0.36,-0.15,-0.15,77.9,2.0,2.0,360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0
27.279,-101.415,-0.15,0.0,308.673,300.686,-13.994,27.438,137.188,109.751,0.2,129.208,22.422,114.767,1.48,-0.15,-0.15,83.4,2.4,2.4,146.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0
226.369,-38.714,-0.15,0.0,308.673,304.68,-10.079,62.513,312.567,250.054,0.2,300.875,53.038,259.529,1.62,-0.15,-0.15,86.0,2.7,2.7,158.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0
177.896,-55.729,-0.15,0.0,308.673,304.5,-10.256,30.189,150.945,120.756,0.2,152.208,18.772,132.173,0.2,-0.15,-0.15,93.6,0.9,0.9,186.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0
11.216,-56.447,-0.15,0.0,308.673,230.498,-82.78,1.145,5.727,4.582,0.2,8.583,0.0,5.727,-0.35,-0.15,-0.15,91.3,1.7,1.7,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0
4.783,-131.378,-0.15,0.0,308.673,221.898,-91.207,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.02,-0.15,-0.15,85.2,1.6,1.6,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0
35.672,-267.886,-0.15,0.0,308.673,218.802,-94.242,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.23,-0.15,-0.15,68.5,1.3,1.3,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0
3.123,-182.305,-0.15,0.0,308.673,215.632,-97.348,0.0,0.0,0.0,0.2,0.0,0.0,0.0,-0.11,-0.15,-0.15,71.4,1.1,1.1,352.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0
