ground_temperature,air_temperature,surface_temperature(mod),bottom_temperature
-18.37,-8.46,-17.252,-18.37
-18.78,-9.63,-16.404,-18.78
-19.48,-10.26,-16.176,-19.48
-19.99,-11.09,-16.989,-19.99
-20.04,-11.9,-17.767,-20.04
-20.07,-11.94,-17.927,-20.07
-20.01,-13.92,-25.6,-20.01
-20.27,-12.4,-23.147,-20.27
-20.82,-20.92,-24.527,-20.82
-21.09,-21.16,-25.907,-21.09
-21.29,-22.32,-26.896,-21.29
-20.51,-22.0,-26.256,-20.51
-16.33,-15.44,-18.642,-16.33
-12.3,-13.5,-14.003,-12.3
-9.17,-9.03,-9.902,-9.17
-6.46,-3.26,-4.867,-6.46
-6.051,-0.8,-2.976,-6.051
-5.312,-0.01,-1.931,-5.312
-7.198,2.26,-0.715,-7.198
-8.45,1.83,-2.578,-8.45
-12.56,-2.63,-6.28,-12.56
-16.95,-4.88,-15.371,-16.95
-17.06,-7.77,-22.186,-17.06
-16.53,-8.08,-24.003,-16.53
-16.91,-9.29,-25.051,-16.91
-17.51,-10.47,-26.514,-17.51
-17.44,-10.4,-24.895,-17.44
-17.76,-10.69,-25.109,-17.76
-17.01,-10.89,-25.788,-17.01
-18.65,-10.97,-26.094,-18.65
-16.94,-12.22,-26.619,-16.94
-16.56,-12.54,-24.167,-16.56
-17.73,-12.0,-21.347,-17.73
-16.77,-12.24,-24.106,-16.77
-15.61,-12.12,-26.537,-15.61
-15.75,-12.37,-22.02,-15.75
-12.3,-9.24,-17.528,-12.3
-8.81,-8.78,-10.382,-8.81
-7.55,-6.94,-7.697,-7.55
-4.903,-3.0,-3.902,-4.903
-2.219,-2.27,-2.849,-2.219
-3.216,-1.71,-1.991,-3.216
-5.656,-0.73,-2.658,-5.656
-6.96,-0.25,-2.058,-6.96
-8.55,-3.55,-8.532,-8.55
-13.79,-5.15,-15.335,-13.79
-14.77,-7.54,-23.603,-14.77
-14.91,-7.5,-23.391,-14.91
-15.76,-9.0,-22.208,-15.76
-16.22,-10.39,-23.133,-16.22
-17.01,-11.28,-24.483,-17.01
-17.49,-11.38,-25.213,-17.49
-18.0,-11.33,-27.92,-18.0
-17.84,-11.93,-26.619,-17.84
-18.11,-12.73,-26.729,-18.11
-18.56,-12.95,-22.755,-18.56
-17.77,-14.09,-18.081,-17.77
-17.77,-15.45,-20.557,-17.77
-18.29,-15.64,-23.274,-18.29
-16.07,-14.08,-22.86,-16.07
-12.86,-11.4,-18.328,-12.86
-9.38,-9.01,-11.322,-9.38
-6.41,-7.0,-9.116,-6.41
-4.34,-2.14,-5.644,-4.34
-3.29,-1.02,-5.338,-3.29
-2.442,-0.72,-4.11,-2.442
-4.748,0.23,-3.067,-4.748
-6.69,0.15,-3.328,-6.69
-10.43,-2.33,-5.725,-10.43
-15.24,-2.99,-16.548,-15.24
-15.72,-6.08,-22.907,-15.72
-16.34,-8.05,-24.072,-16.34
-16.97,-9.27,-21.218,-16.97
-17.63,-10.56,-19.584,-17.63
-18.27,-11.69,-18.865,-18.27
-18.86,-12.38,-18.52,-18.86
-19.46,-12.89,-18.42,-19.46
-19.91,-12.92,-18.525,-19.91
-20.16,-13.96,-18.879,-20.16
-20.01,-14.47,-19.794,-20.01
-20.69,-14.39,-20.794,-20.69
-21.24,-14.45,-22.181,-21.24
