ground_temperature,air_temperature,surface_temperature(mod),bottom_temperature
-11.62,-8.39,-29.937,-11.62
-11.66,-7.92,-27.424,-11.66
-8.98,-6.86,-17.693,-8.98
-7.0,-6.68,-6.487,-7.0
-5.9,-7.11,-5.614,-5.9
-4.97,-7.01,-5.382,-4.97
-4.43,-6.71,-5.139,-4.43
-4.07,-6.66,-5.191,-4.07
-4.26,-6.6,-5.039,-4.26
-4.83,-6.86,-5.758,-4.83
-6.59,-6.01,-6.457,-6.59
-9.62,-6.14,-9.0,-9.62
-10.27,-5.57,-11.542,-10.27
-9.77,-5.4,-12.128,-9.77
-9.37,-6.37,-11.288,-9.37
-8.39,-7.02,-11.841,-8.39
-8.21,-7.43,-13.187,-8.21
-8.31,-7.72,-16.064,-8.31
-8.7,-7.81,-17.778,-8.7
-8.74,-7.12,-16.542,-8.74
-8.56,-7.04,-19.76,-8.56
-8.07,-6.81,-22.551,-8.07
-8.28,-7.38,-26.855,-8.28
-8.86,-7.03,-24.399,-8.86
-8.24,-6.16,-20.957,-8.24
-8.9,-5.91,-18.63,-8.9
-7.05,-6.36,-15.925,-7.05
-6.47,-7.19,-9.053,-6.47
-4.83,-7.79,-6.331,-4.83
-3.89,-6.01,-4.28,-3.89
-3.51,-5.58,-4.158,-3.51
-3.06,-5.45,-4.199,-3.06
-4.55,-5.05,-4.023,-4.55
-4.96,-4.92,-3.887,-4.96
-5.88,-5.52,-6.331,-5.88
-8.93,-5.44,-7.95,-8.93
-9.26,-4.48,-8.515,-9.26
-8.08,-4.49,-8.565,-8.08
-7.19,-4.78,-12.2,-7.19
-8.1,-6.63,-13.634,-8.1
-8.22,-6.91,-17.348,-8.22
-8.48,-7.6,-23.077,-8.48
-7.89,-7.2,-24.748,-7.89
-7.86,-7.03,-27.664,-7.86
-8.12,-7.0,-30.934,-8.12
-8.04,-6.82,-29.515,-8.04
-7.59,-7.01,-29.117,-7.59
-7.99,-6.82,-29.421,-7.99
-8.9,-6.89,-28.291,-8.9
-7.75,-6.76,-27.551,-7.75
-7.54,-6.67,-19.649,-7.54
-5.97,-7.38,-10.929,-5.97
-5.93,-7.92,-7.229,-5.93
-4.92,-7.19,-6.09,-4.92
-3.64,-6.98,-5.909,-3.64
-4.0,-5.96,-4.685,-4.0
-4.47,-5.76,-4.4,-4.47
-4.6,-5.24,-4.237,-4.6
-5.81,-7.34,-8.071,-5.81
-6.92,-7.06,-9.81,-6.92
-6.98,-7.13,-20.241,-6.98
-8.16,-6.33,-18.357,-8.16
-7.32,-6.52,-23.116,-7.32
-7.43,-6.92,-19.65,-7.43
-7.02,-6.74,-15.373,-7.02
-8.06,-6.64,-22.377,-8.06
-7.46,-6.74,-23.014,-7.46
-7.64,-6.91,-27.692,-7.64
-7.11,-7.09,-27.364,-7.11
-7.3,-7.07,-27.235,-7.3
-6.78,-6.91,-26.857,-6.78
-7.48,-7.12,-24.473,-7.48
-8.36,-6.72,-16.163,-8.36
-8.73,-6.98,-12.941,-8.73
-6.12,-6.83,-13.912,-6.12
-5.5,-7.18,-8.238,-5.5
-5.48,-7.61,-6.553,-5.48
-4.63,-6.42,-5.189,-4.63
-4.29,-6.66,-5.307,-4.29
-4.4,-6.69,-5.334,-4.4
-4.66,-6.29,-5.132,-4.66
-6.76,-5.6,-4.615,-6.76
-6.08,-7.09,-7.756,-6.08
-9.76,-7.4,-10.943,-9.76
-11.14,-8.25,-12.641,-11.14
-9.73,-8.26,-11.102,-9.73
-10.74,-8.25,-10.9,-10.74
-9.63,-8.44,-11.49,-9.63
-9.67,-8.07,-11.316,-9.67
-10.74,-8.51,-12.119,-10.74
-11.13,-8.64,-12.36,-11.13
-11.74,-9.69,-12.869,-11.74
-11.79,-10.85,-13.431,-11.79
-11.08,-11.29,-13.749,-11.08
-11.78,-10.04,-13.251,-11.78
-11.68,-10.74,-16.019,-11.68
-12.06,-10.6,-14.418,-12.06
-11.85,-10.2,-11.461,-11.85
-9.16,-9.73,-14.003,-9.16
-8.17,-8.72,-8.059,-8.17
-6.01,-8.21,-7.755,-6.01
-4.77,-7.27,-6.645,-4.77
-4.85,-7.06,-6.332,-4.85
-4.41,-6.68,-5.902,-4.41
-5.4,-5.84,-4.818,-5.4
-4.71,-5.85,-4.715,-4.71
-7.02,-7.62,-8.174,-7.02
-8.69,-7.53,-9.629,-8.69
-9.76,-7.48,-10.762,-9.76
-10.12,-6.86,-11.329,-10.12
-9.83,-6.85,-10.417,-9.83
-9.51,-6.29,-10.413,-9.51
-9.47,-7.34,-11.987,-9.47
-9.78,-7.19,-12.674,-9.78
-10.28,-7.48,-12.455,-10.28
-10.08,-7.86,-14.408,-10.08
-9.59,-7.81,-16.166,-9.59
-9.47,-7.74,-16.091,-9.47
-8.83,-7.86,-12.353,-8.83
-9.21,-7.5,-11.876,-9.21
-10.07,-8.21,-12.22,-10.07
-9.64,-8.14,-11.511,-9.64
-8.83,-7.14,-9.767,-8.83
-7.0,-7.72,-8.153,-7.0
-5.77,-6.88,-5.583,-5.77
-4.68,-5.65,-4.709,-4.68
-4.09,-5.24,-4.407,-4.09
-3.77,-5.11,-4.282,-3.77
-4.47,-4.91,-3.857,-4.47
-4.43,-4.98,-3.649,-4.43
-6.15,-6.51,-6.828,-6.15
-7.19,-6.84,-9.506,-7.19
-7.23,-6.32,-9.322,-7.23
-6.98,-5.87,-9.848,-6.98
-7.14,-6.3,-10.217,-7.14
-6.71,-6.83,-20.338,-6.71
-7.02,-6.57,-21.617,-7.02
-7.47,-6.97,-15.845,-7.47
-7.63,-6.71,-13.386,-7.63
-7.46,-6.57,-15.031,-7.46
-7.71,-6.84,-17.415,-7.71
-7.97,-7.18,-15.132,-7.97
-8.29,-7.81,-19.227,-8.29
-7.72,-8.12,-22.554,-7.72
-8.13,-7.49,-13.763,-8.13
-8.39,-7.09,-11.872,-8.39
-6.93,-6.57,-12.316,-6.93
-6.77,-6.56,-7.183,-6.77
-5.03,-6.7,-6.108,-5.03
-4.45,-5.41,-4.239,-4.45
-3.84,-5.34,-4.357,-3.84
-3.32,-5.47,-4.255,-3.32
-3.45,-5.18,-4.062,-3.45
-4.86,-5.45,-3.985,-4.86
-5.19,-5.81,-6.466,-5.19
-7.64,-5.74,-7.485,-7.64
-6.64,-5.3,-7.893,-6.64
-6.34,-5.56,-14.829,-6.34
-6.7,-6.52,-24.393,-6.7
-6.56,-6.56,-22.353,-6.56
-6.75,-6.84,-24.519,-6.75
-6.42,-6.9,-19.77,-6.42
-7.85,-6.52,-15.073,-7.85
-7.76,-6.89,-17.2,-7.76
-7.68,-6.64,-20.993,-7.68
-7.52,-6.54,-20.205,-7.52
-8.83,-7.64,-15.832,-8.83
-8.27,-7.91,-13.963,-8.27
-8.97,-7.78,-11.63,-8.97
-9.03,-7.62,-11.398,-9.03
-7.57,-7.09,-11.224,-7.57
-6.88,-7.02,-7.057,-6.88
-5.74,-7.29,-5.659,-5.74
-4.66,-5.24,-4.079,-4.66
-3.52,-5.0,-4.034,-3.52
-3.65,-5.03,-4.953,-3.65
-3.67,-4.88,-5.298,-3.67
-5.61,-4.89,-5.963,-5.61
-5.66,-5.84,-7.435,-5.66
-8.1,-5.75,-8.02,-8.1
-7.31,-5.3,-8.217,-7.31
-6.97,-5.45,-8.999,-6.97
-7.56,-6.21,-9.211,-7.56
-7.07,-6.35,-14.304,-7.07
-7.23,-6.8,-13.173,-7.23
-7.78,-6.92,-11.718,-7.78
-7.74,-7.21,-18.296,-7.74
-7.39,-7.13,-19.807,-7.39
-7.8,-7.73,-23.837,-7.8
-8.94,-7.67,-12.68,-8.94
-9.16,-8.33,-14.555,-9.16
-8.19,-8.36,-18.998,-8.19
-9.08,-8.17,-11.155,-9.08
-8.05,-8.08,-15.787,-8.05
-6.9,-7.02,-14.261,-6.9
-5.7,-6.59,-7.705,-5.7
-4.8,-6.43,-6.023,-4.8
-4.31,-4.26,-3.969,-4.31
-3.64,-4.04,-4.363,-3.64
-3.59,-3.69,-4.191,-3.59
-3.54,-3.43,-4.119,-3.54
-4.49,-3.2,-3.325,-4.49
-5.2,-4.98,-5.878,-5.2
-7.25,-5.04,-8.111,-7.25
-8.55,-5.43,-9.998,-8.55
-8.06,-5.83,-12.207,-8.06
-8.87,-6.3,-11.4,-8.87
-8.86,-7.47,-13.466,-8.86
-8.12,-7.9,-14.645,-8.12
-9.03,-8.66,-13.903,-9.03
-9.8,-8.77,-12.824,-9.8
-11.91,-9.19,-12.747,-11.91
-11.82,-10.95,-14.478,-11.82
-12.61,-11.46,-15.117,-12.61
-14.45,-12.4,-14.723,-14.45
-14.44,-13.9,-16.254,-14.44
-14.45,-13.9,-16.175,-14.45
-13.6,-13.09,-15.349,-13.6
-11.61,-10.7,-12.314,-11.61
-8.5,-8.88,-10.808,-8.5
-6.91,-6.94,-9.575,-6.91
-7.45,-5.25,-8.493,-7.45
-7.08,-4.07,-7.551,-7.08
-7.31,-4.43,-7.961,-7.31
-8.31,-4.14,-8.532,-8.31
-10.42,-2.64,-3.551,-10.42
-13.09,-4.91,-6.352,-13.09
-17.2,-5.41,-6.77,-17.2
-18.85,-7.92,-9.311,-18.85
-19.43,-9.75,-10.799,-19.43
-20.02,-11.35,-12.115,-20.02
-20.61,-13.52,-14.2,-20.61
-21.13,-14.36,-14.955,-21.13
-21.65,-15.03,-15.634,-21.65
-21.94,-15.14,-15.781,-21.94
-22.19,-15.26,-15.935,-22.19
-22.51,-15.88,-16.518,-22.51
-22.59,-16.15,-16.796,-22.59
-23.03,-19.31,-19.033,-23.03
-23.43,-18.7,-18.302,-23.43
-23.96,-18.4,-18.05,-23.96
-22.86,-18.89,-18.402,-22.86
-19.56,-15.18,-14.315,-19.56
-16.32,-13.9,-13.49,-16.32
-13.91,-10.86,-11.435,-13.91
-12.18,-5.68,-7.268,-12.18
-11.12,-3.49,-5.562,-11.12
-11.15,-3.36,-2.794,-11.15
-12.16,-1.61,-1.084,-12.16
-14.21,-1.76,-0.951,-14.21
-17.12,-5.5,-3.757,-17.12
-21.21,-6.46,-4.633,-21.21
-22.6,-9.99,-9.799,-22.6
-22.81,-11.47,-11.997,-22.81
-23.08,-12.8,-13.309,-23.08
-23.24,-13.65,-14.049,-23.24
-23.35,-14.43,-14.843,-23.35
-23.33,-14.57,-15.1,-23.33
-23.23,-14.79,-15.457,-23.23
-23.56,-14.66,-18.625,-23.56
-23.34,-15.5,-19.056,-23.34
-23.59,-15.5,-19.253,-23.59
-23.88,-15.1,-19.231,-23.88
-24.05,-14.78,-18.753,-24.05
-24.15,-14.56,-18.616,-24.15
-22.94,-14.12,-17.983,-22.94
-19.0,-11.41,-12.535,-19.0
-15.12,-11.05,-11.635,-15.12
-12.52,-9.34,-9.466,-12.52
-10.75,-3.44,-3.567,-10.75
-9.27,-3.15,-1.919,-9.27
-9.73,-3.19,-2.182,-9.73
-10.2,-2.47,-1.695,-10.2
-12.55,-2.64,-1.24,-12.55
-15.22,-5.43,-2.684,-15.22
-19.45,-6.55,-5.271,-19.45
-20.53,-8.65,-11.693,-20.53
-20.93,-10.24,-15.455,-20.93
-20.42,-10.93,-17.21,-20.42
-20.91,-12.24,-18.838,-20.91
-20.91,-12.55,-19.077,-20.91
-21.51,-12.93,-18.822,-21.51
-21.55,-12.98,-18.613,-21.55
-21.37,-12.49,-17.569,-21.37
-21.2,-13.64,-17.744,-21.2
-20.82,-13.53,-17.456,-20.82
-20.5,-14.54,-17.637,-20.5
-21.31,-14.61,-17.492,-21.31
-20.91,-14.81,-18.064,-20.91
-20.06,-15.36,-18.632,-20.06
-16.5,-12.66,-12.672,-16.5
-12.77,-11.69,-11.057,-12.77
-10.55,-9.51,-8.531,-10.55
-8.13,-3.51,-2.787,-8.13
-7.74,-3.09,-1.948,-7.74
-7.6,-3.47,-1.663,-7.6
-9.32,-3.03,-1.265,-9.32
-10.65,-2.52,-0.642,-10.65
-13.67,-5.61,-3.027,-13.67
-17.98,-5.74,-4.104,-17.98
-19.28,-8.27,-10.868,-19.28
-19.64,-9.02,-13.931,-19.64
-19.7,-10.03,-15.514,-19.7
-20.17,-12.41,-17.042,-20.17
-20.49,-12.67,-17.366,-20.49
-20.69,-13.35,-17.522,-20.69
-21.17,-14.95,-18.314,-21.17
-21.17,-15.18,-18.295,-21.17
-20.61,-15.69,-18.477,-20.61
-21.12,-16.83,-19.418,-21.12
-20.67,-14.66,-17.814,-20.67
-20.78,-15.06,-17.725,-20.78
-20.41,-14.65,-17.332,-20.41
-19.57,-15.08,-17.646,-19.57
-15.17,-12.72,-12.851,-15.17
-11.87,-9.77,-9.34,-11.87
-9.25,-8.11,-7.395,-9.25
-6.47,-3.53,-2.974,-6.47
-6.17,-2.99,-1.864,-6.17
-6.2,-3.16,-1.356,-6.2
-6.01,-3.23,-1.537,-6.01
-7.97,-1.9,-0.141,-7.97
-11.57,-4.6,-1.892,-11.57
-12.81,-5.45,-5.712,-12.81
-13.28,-6.46,-15.074,-13.28
-12.61,-6.95,-15.492,-12.61
-12.84,-7.34,-15.827,-12.84
-12.42,-7.82,-16.819,-12.42
-11.9,-8.27,-17.67,-11.9
-11.68,-8.3,-18.062,-11.68
-11.47,-8.58,-21.532,-11.47
-11.65,-9.22,-20.348,-11.65
-12.56,-9.46,-17.515,-12.56
-12.51,-9.65,-14.333,-12.51
-12.39,-8.22,-13.674,-12.39
-12.63,-8.13,-12.007,-12.63
-12.82,-7.83,-11.787,-12.82
-11.6,-7.81,-11.874,-11.6
-9.09,-6.71,-13.922,-9.09
-7.39,-6.55,-8.153,-7.39
-5.75,-5.65,-5.869,-5.75
-4.03,-3.51,-3.454,-4.03
-3.33,-3.08,-1.835,-3.33
-2.97,-2.98,-1.415,-2.97
-4.64,-2.63,-0.444,-4.64
-4.32,-2.52,-0.306,-4.32
-6.64,-4.17,-4.524,-6.64
-9.39,-4.87,-8.021,-9.39
-10.22,-6.1,-15.686,-10.22
-10.92,-6.71,-15.208,-10.92
-10.34,-6.38,-13.857,-10.34
-10.11,-7.26,-11.834,-10.11
-9.11,-6.91,-12.325,-9.11
-10.46,-8.18,-14.955,-10.46
-9.25,-8.06,-15.196,-9.25
-9.31,-8.02,-12.93,-9.31
-8.57,-8.31,-13.521,-8.57
-8.98,-8.32,-13.487,-8.98
-9.53,-6.6,-10.751,-9.53
-10.41,-6.87,-10.331,-10.41
-11.68,-6.93,-10.88,-11.68
-10.36,-7.14,-14.332,-10.36
-8.24,-6.46,-12.752,-8.24
-5.68,-5.88,-6.315,-5.68
-4.34,-5.9,-6.485,-4.34
-2.8,-5.4,-5.627,-2.8
-2.15,-5.89,-6.624,-2.15
-2.43,-6.11,-6.566,-2.43
-3.52,-5.7,-6.287,-3.52
-4.11,-5.85,-6.364,-4.11
-7.05,-5.95,-5.778,-7.05
-10.71,-5.8,-8.652,-10.71
-12.32,-6.43,-13.828,-12.32
-12.79,-6.97,-11.23,-12.79
-13.73,-8.12,-11.397,-13.73
-14.52,-9.5,-12.645,-14.52
-15.01,-9.46,-12.952,-15.01
-15.5,-9.39,-12.82,-15.5
-16.12,-8.94,-12.972,-16.12
-16.52,-9.67,-13.821,-16.52
-16.61,-11.69,-15.132,-16.61
-16.59,-12.82,-16.05,-16.59
-16.78,-13.77,-17.253,-16.78
-16.02,-14.69,-18.299,-16.02
-16.47,-14.88,-17.828,-16.47
-15.38,-14.64,-17.241,-15.38
-11.87,-11.68,-13.643,-11.87
-8.84,-10.21,-12.477,-8.84
-6.14,-8.55,-11.308,-6.14
-5.67,-3.88,-8.355,-5.67
-4.71,-2.42,-8.613,-4.71
-4.83,-2.2,-8.963,-4.83
-6.09,-0.83,-8.722,-6.09
-8.3,-0.56,-9.468,-8.3
-10.78,-2.28,-9.251,-10.78
-15.41,-2.33,-10.221,-15.41
-17.08,-5.55,-17.038,-17.08
-17.17,-8.03,-23.594,-17.17
-17.5,-8.37,-23.839,-17.5
-17.7,-9.06,-22.455,-17.7
-17.94,-9.92,-20.555,-17.94
-18.01,-10.32,-20.69,-18.01
-17.67,-11.58,-18.142,-17.67
-17.63,-11.62,-18.117,-17.63
-16.68,-12.29,-19.933,-16.68
-17.4,-12.2,-20.367,-17.4
-17.18,-10.41,-25.409,-17.18
-15.31,-10.54,-18.782,-15.31
-13.64,-9.43,-16.244,-13.64
-11.22,-8.99,-16.735,-11.22
-10.31,-8.24,-12.694,-10.31
-6.67,-6.81,-8.031,-6.67
-4.56,-6.16,-6.888,-4.56
-4.32,-3.88,-4.872,-4.32
-4.88,-3.35,-4.299,-4.88
-3.74,-3.46,-4.26,-3.74
-3.96,-2.5,-3.299,-3.96
-4.47,-2.01,-2.883,-4.47
-6.34,-3.81,-4.868,-6.34
-9.88,-4.14,-10.736,-9.88
-10.46,-4.9,-17.79,-10.46
-10.11,-6.27,-13.517,-10.11
-8.77,-6.64,-11.203,-8.77
-9.53,-7.14,-12.572,-9.53
-8.96,-7.26,-13.108,-8.96
-10.06,-7.86,-12.349,-10.06
-10.39,-8.42,-12.212,-10.39
-10.45,-7.98,-12.423,-10.45
-10.88,-7.97,-12.547,-10.88
-10.76,-8.15,-12.904,-10.76
-9.15,-6.22,-18.946,-9.15
-9.63,-6.37,-17.128,-9.63
-10.43,-6.3,-18.28,-10.43
-8.18,-5.82,-14.558,-8.18
-5.93,-6.31,-15.932,-5.93
-4.54,-5.68,-11.314,-4.54
-3.26,-6.43,-7.595,-3.26
-2.4,-5.39,-4.062,-2.4
-2.0,-5.17,-4.279,-2.0
-2.2,-4.56,-3.448,-2.2
-2.12,-4.81,-3.479,-2.12
-3.42,-5.06,-3.574,-3.42
-3.58,-5.4,-4.758,-3.58
-6.8,-5.02,-9.206,-6.8
-7.3,-4.96,-10.45,-7.3
-7.11,-4.65,-9.764,-7.11
-7.86,-5.04,-10.038,-7.86
-7.1,-3.64,-9.423,-7.1
-7.27,-4.23,-9.62,-7.27
-7.45,-4.16,-8.298,-7.45
-8.0,-5.47,-10.404,-8.0
-7.5,-5.48,-10.338,-7.5
-8.16,-6.22,-12.406,-8.16
-8.17,-6.08,-11.166,-8.17
-6.95,-5.33,-17.767,-6.95
-8.21,-4.86,-20.608,-8.21
-7.67,-5.02,-15.228,-7.67
-7.0,-5.1,-15.226,-7.0
-4.78,-3.86,-8.898,-4.78
-3.08,-2.93,-2.811,-3.08
-2.02,-3.65,-2.322,-2.02
-1.25,-1.96,-0.615,-1.25
-1.11,-1.99,-0.715,-1.11
-0.77,-1.84,-0.392,-0.77
-1.15,-1.26,-0.081,-1.15
-2.13,-1.09,-0.262,-2.13
-2.19,-1.96,-1.414,-2.19
-5.33,-1.86,-4.27,-5.33
-6.26,-2.59,-7.776,-6.26
-5.6,-2.93,-11.316,-5.6
-6.66,-3.2,-11.414,-6.66
-6.75,-2.48,-8.962,-6.75
-6.33,-2.86,-8.635,-6.33
-6.14,-3.42,-10.589,-6.14
-5.97,-3.91,-7.801,-5.97
-5.53,-3.78,-9.133,-5.53
-5.1,-3.69,-8.672,-5.1
-5.51,-3.83,-8.839,-5.51
-4.62,-3.84,-7.17,-4.62
-5.05,-3.67,-7.755,-5.05
-5.37,-3.85,-9.757,-5.37
-4.09,-3.42,-14.604,-4.09
-3.94,-2.91,-8.764,-3.94
-2.89,-3.39,-3.2,-2.89
-1.86,-4.16,-2.69,-1.86
-1.67,-3.78,-2.455,-1.67
-0.94,-3.65,-2.696,-0.94
-1.33,-3.79,-2.899,-1.33
-1.49,-3.62,-2.857,-1.49
-1.88,-3.28,-2.818,-1.88
-2.38,-4.37,-3.842,-2.38
-4.34,-4.59,-5.641,-4.34
-4.96,-4.3,-6.418,-4.96
-4.9,-4.04,-7.017,-4.9
-4.96,-3.92,-6.384,-4.96
-4.16,-3.72,-7.101,-4.16
-4.07,-3.6,-9.396,-4.07
-3.93,-4.27,-17.91,-3.93
-3.85,-4.14,-21.957,-3.85
-4.68,-4.3,-13.266,-4.68
-4.95,-4.37,-8.573,-4.95
-5.52,-4.42,-7.544,-5.52
-5.07,-4.65,-11.598,-5.07
-5.0,-4.76,-13.379,-5.0
-6.23,-4.54,-7.415,-6.23
-5.05,-4.19,-7.976,-5.05
-3.61,-3.62,-7.678,-3.61
-2.65,-3.0,-2.782,-2.65
-1.82,-3.04,-2.673,-1.82
-0.96,-2.07,-1.59,-0.96
-0.92,-2.37,-1.543,-0.92
-0.94,-2.04,-1.257,-0.94
-0.76,-1.8,-0.562,-0.76
-2.08,-1.2,0.0,-2.08
-2.52,-4.23,-4.511,-2.52
-3.09,-4.34,-5.7,-3.09
-3.24,-3.74,-5.759,-3.24
-3.47,-3.54,-6.116,-3.47
-3.36,-3.99,-6.15,-3.36
-3.83,-4.16,-7.143,-3.83
-4.57,-4.37,-7.32,-4.57
-3.91,-4.37,-7.391,-3.91
-3.73,-5.01,-7.224,-3.73
-4.21,-5.18,-10.256,-4.21
-4.0,-4.9,-7.886,-4.0
-4.42,-4.69,-7.586,-4.42
-5.0,-4.55,-7.826,-5.0
-4.38,-4.21,-6.763,-4.38
-4.48,-4.39,-7.578,-4.48
-3.98,-3.89,-6.754,-3.98
-3.38,-3.66,-5.09,-3.38
-2.31,-3.97,-4.021,-2.31
-1.61,-4.18,-4.022,-1.61
-0.27,-3.43,-2.947,-0.27
-0.37,-2.96,-2.151,-0.37
-0.39,-2.87,-1.864,-0.39
-0.95,-3.33,-2.032,-0.95
-1.64,-3.72,-2.263,-1.64
-2.38,-2.83,-3.122,-2.38
-2.61,-2.94,-3.81,-2.61
-2.68,-2.61,-4.293,-2.68
-2.85,-2.53,-4.262,-2.85
-3.15,-3.45,-5.841,-3.15
-3.87,-3.79,-5.35,-3.87
-4.89,-4.0,-6.644,-4.89
-4.19,-4.49,-6.201,-4.19
-5.53,-4.62,-6.451,-5.53
-6.53,-4.72,-7.363,-6.53
-5.09,-5.12,-7.014,-5.09
-6.06,-5.24,-8.078,-6.06
-5.07,-5.68,-8.947,-5.07
-5.47,-5.71,-7.677,-5.47
-5.29,-5.8,-7.791,-5.29
-4.01,-5.22,-7.204,-4.01
-3.85,-4.73,-5.663,-3.85
-2.04,-5.05,-4.351,-2.04
-1.27,-4.3,-3.573,-1.27
-1.06,-2.53,-1.698,-1.06
-1.0,-1.85,-1.088,-1.0
-0.69,-1.81,-0.958,-0.69
-1.64,-1.1,-0.272,-1.64
-1.98,-1.34,-0.538,-1.98
-3.34,-3.46,-3.187,-3.34
-4.5,-3.32,-4.441,-4.5
-5.45,-2.89,-4.87,-5.45
-4.37,-3.26,-4.877,-4.37
-5.88,-3.37,-4.936,-5.88
-5.34,-4.62,-8.535,-5.34
-5.56,-5.77,-8.251,-5.56
-5.81,-5.51,-8.482,-5.81
-6.31,-5.48,-8.467,-6.31
-5.68,-3.3,-5.0,-5.68
-5.8,-3.74,-6.021,-5.8
-5.61,-3.21,-5.989,-5.61
-7.01,-3.83,-9.097,-7.01
-7.37,-4.28,-8.129,-7.37
-7.59,-3.7,-6.552,-7.59
-6.91,-3.59,-6.374,-6.91
-6.26,-2.37,-3.502,-6.26
-4.25,-1.74,-0.756,-4.25
-3.5,-1.63,-0.809,-3.5
-2.69,-0.02,0.0,-2.69
-1.79,1.23,0.0,-1.79
-1.72,0.71,0.0,-1.72
-2.62,0.15,0.0,-2.62
-3.44,-0.31,-0.809,-3.44
-3.89,-1.59,-1.58,-3.89
-4.89,-1.16,-2.532,-4.89
-5.04,-1.35,-3.123,-5.04
-5.45,-1.23,-3.154,-5.45
-6.01,-1.23,-3.54,-6.01
-7.05,-3.3,-5.185,-7.05
-7.73,-3.5,-5.583,-7.73
-7.72,-3.4,-5.548,-7.72
-7.62,-3.27,-5.883,-7.62
-8.79,-3.97,-7.155,-8.79
-8.37,-4.74,-8.277,-8.37
-8.13,-4.31,-7.832,-8.13
-9.18,-3.8,-5.767,-9.18
-7.91,-3.81,-6.032,-7.91
-8.31,-1.36,-6.065,-8.31
-7.36,-6.72,-10.184,-7.36
-6.22,-7.45,-10.15,-6.22
-5.47,-7.52,-7.933,-5.47
-4.71,-7.52,-7.021,-4.71
-3.0,-6.21,-5.247,-3.0
-2.85,-5.92,-4.86,-2.85
-2.33,-5.14,-4.203,-2.33
-3.37,-4.05,-3.464,-3.37
-4.03,-3.85,-3.43,-4.03
-4.39,-5.62,-6.257,-4.39
-5.34,-5.65,-7.122,-5.34
-5.83,-5.5,-7.509,-5.83
-5.88,-4.15,-6.5,-5.88
-8.05,-5.32,-7.73,-8.05
-8.42,-5.88,-7.718,-8.42
-7.02,-5.32,-8.257,-7.02
-7.02,-5.5,-9.232,-7.02
-7.42,-4.59,-7.243,-7.42
-7.4,-4.52,-7.566,-7.4
-7.22,-5.14,-9.174,-7.22
-7.15,-4.89,-8.716,-7.15
-7.71,-5.72,-9.682,-7.71
-7.34,-5.77,-9.166,-7.34
-8.2,-5.14,-7.658,-8.2
-6.88,-6.25,-9.427,-6.88
-6.06,-3.79,-6.309,-6.06
-4.9,-3.86,-4.893,-4.9
-3.51,-4.15,-5.191,-3.51
-2.98,-1.06,-2.413,-2.98
-1.79,-2.48,-3.708,-1.79
-2.11,-2.58,-3.366,-2.11
-2.97,-1.26,-0.071,-2.97
-3.28,-1.72,-2.231,-3.28
-3.72,-3.42,-3.744,-3.72
-5.66,-3.79,-5.041,-5.66
-8.57,-3.86,-5.748,-8.57
-7.89,-3.68,-5.901,-7.89
-7.34,-4.32,-6.853,-7.34
-7.48,-4.97,-7.26,-7.48
-9.26,-5.07,-9.369,-9.26
-8.57,-6.9,-10.999,-8.57
-9.01,-7.59,-10.992,-9.01
-9.41,-7.32,-10.191,-9.41
-9.15,-6.47,-9.473,-9.15
-9.4,-7.37,-9.993,-9.4
-9.52,-6.32,-8.62,-9.52
-9.88,-6.46,-8.816,-9.88
-9.14,-6.18,-9.075,-9.14
-7.59,-5.92,-9.068,-7.59
-6.16,-3.41,-3.997,-6.16
-5.09,-3.41,-3.18,-5.09
-2.85,-3.04,-4.022,-2.85
-1.61,-0.81,-1.082,-1.61
-0.88,-0.71,-1.409,-0.88
-1.38,-0.26,0.0,-1.38
-1.06,-0.11,0.0,-1.06
-2.17,0.98,0.0,-2.17
-2.75,-1.63,-2.142,-2.75
-5.07,-0.79,-2.73,-5.07
-6.49,-1.15,-3.389,-6.49
-6.62,-0.89,-3.507,-6.62
-7.46,-1.08,-5.004,-7.46
-7.98,-2.99,-12.343,-7.98
-8.93,-3.84,-8.253,-8.93
-9.1,-3.47,-11.103,-9.1
-7.79,-4.03,-8.257,-7.79
-6.65,-4.13,-7.093,-6.65
-6.17,-4.29,-7.104,-6.17
-7.03,-4.19,-7.613,-7.03
-5.99,-4.88,-7.245,-5.99
-5.84,-4.68,-6.766,-5.84
-6.04,-4.24,-6.637,-6.04
-5.56,-4.29,-7.967,-5.56
-5.06,-4.63,-8.948,-5.06
-3.4,-4.25,-5.237,-3.4
-2.82,-4.1,-3.646,-2.82
-1.85,-3.54,-3.01,-1.85
-1.42,-3.6,-2.699,-1.42
-1.42,-3.56,-2.6,-1.42
-1.77,-3.21,-2.247,-1.77
-2.24,-3.14,-2.325,-2.24
-3.26,-4.47,-3.697,-3.26
-5.45,-4.06,-6.111,-5.45
-7.2,-3.39,-7.678,-7.2
-7.0,-3.5,-8.397,-7.0
-7.08,-4.21,-8.199,-7.08
-7.08,-5.36,-9.046,-7.08
-6.76,-5.18,-7.15,-6.76
-7.01,-5.49,-7.704,-7.01
-6.89,-6.15,-8.464,-6.89
-7.0,-5.65,-8.024,-7.0
-8.57,-5.79,-8.688,-8.57
-7.35,-6.42,-8.96,-7.35
-6.87,-6.2,-8.347,-6.87
-7.28,-6.39,-9.715,-7.28
-7.21,-6.1,-12.097,-7.21
-7.04,-5.81,-10.545,-7.04
-5.06,-5.34,-6.111,-5.06
