sensible_heat,latent_heat,ground_temperature,rain_energy,outgoing_long_wave_radiation,incoming_long_wave_radiation,net_long_wave_radiation,reflected_short_wave_radiation,incoming_short_wave_radiation,net_short_wave_radiation,parametrized_albedo,incoming_short_wave_on_horizontal,direct_incoming_short_wave,diffuse_incoming_short_wave,air_temperature,surface_temperature(mod),bottom_temperature,relative_humidity,wind_velocity,wind_velocity_drift,wind_direction,solid_precipitation_rate,snow_height(mod),snow_height(meas),hoar_size,24h_height_of_new_snow,3d_sum_of_daily_height_of_new_snow,snow_water_equivalent,total_amount_of_water,rain_rate,virtual_lysimeter,sublimation_mass,evaporated_mass,stability_class,z_Sdef,deformation_rate_stability_index,z_Sn38,natural_stability_index,z_Sk38,Sk38_skier_stability_index,z_SSI,structural_stability_index
31.568,7.705,-14.48,0.0,249.701,180.135,-73.164,0.0,0.0,0.0,0.2,0.0,0.0,0.0,-7.64,-14.48,-14.48,79.7,0.8,0.8,329.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0
59.02,14.642,-14.83,0.0,247.949,178.612,-72.905,0.0,0.0,0.0,0.2,0.0,0.0,0.0,-8.17,-14.83,-14.83,81.2,1.0,1.0,331.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0
102.095,20.792,-15.32,0.0,246.275,171.204,-78.491,0.0,0.0,0.0,0.2,0.0,0.0,0.0,-10.43,-15.32,-15.32,81.5,1.2,1.2,329.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0
118.093,19.139,-15.03,0.0,246.265,163.941,-85.599,0.0,0.0,0.0,0.2,0.0,0.0,0.0,-11.71,-15.03,-15.03,83.1,1.3,1.3,326.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0
158.296,18.619,-16.36,0.0,243.521,159.882,-86.833,0.0,0.0,0.0,0.2,0.0,0.0,0.0,-12.44,-16.36,-16.36,82.9,1.5,1.5,326.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0
170.559,22.443,-16.71,0.0,240.813,155.701,-88.222,0.0,0.0,0.0,0.2,0.0,0.0,0.0,-13.68,-16.71,-16.71,85.5,1.6,1.6,325.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0
166.269,10.607,-17.41,0.0,238.686,150.281,-91.406,0.0,0.0,0.0,0.2,0.0,0.0,0.0,-14.87,-17.41,-17.41,82.4,1.7,1.7,326.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0
133.862,-8.437,-16.98,0.0,238.709,145.903,-95.721,0.0,0.0,0.0,0.2,0.0,0.0,0.0,-15.61,-16.98,-16.98,80.6,1.9,1.9,324.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0
66.513,-43.975,-16.17,0.0,241.209,143.669,-100.41,0.0,0.0,0.0,0.2,0.0,0.0,0.0,-15.8,-16.17,-16.17,77.9,2.0,2.0,324.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0
158.764,-7.262,-16.95,0.0,240.519,150.294,-93.227,0.0,0.0,0.0,0.2,0.0,0.0,0.0,-13.01,-16.95,-16.95,77.6,1.6,1.6,327.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0
205.694,14.102,-16.22,0.0,241.133,154.106,-90.106,0.0,0.0,0.0,0.2,0.0,0.0,0.0,-13.26,-16.22,-16.22,78.1,1.9,1.9,325.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0
272.618,16.122,-16.96,0.0,240.425,153.568,-89.924,0.0,0.0,0.0,0.2,0.0,0.0,0.0,-13.35,-16.96,-16.96,78.4,2.2,2.2,324.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0
335.517,23.425,-16.61,0.0,240.204,154.747,-88.549,3.048,15.24,12.192,0.2,15.24,0.0,15.24,-12.67,-16.61,-16.61,75.4,2.3,2.3,325.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0
