sensible_heat,latent_heat,ground_temperature,rain_energy,outgoing_long_wave_radiation,incoming_long_wave_radiation,net_long_wave_radiation,reflected_short_wave_radiation,incoming_short_wave_radiation,net_short_wave_radiation,parametrized_albedo,incoming_short_wave_on_horizontal,direct_incoming_short_wave,diffuse_incoming_short_wave,air_temperature,surface_temperature(mod),bottom_temperature,relative_humidity,wind_velocity,wind_velocity_drift,wind_direction,solid_precipitation_rate,snow_height(mod),snow_height(meas),hoar_size,24h_height_of_new_snow,3d_sum_of_daily_height_of_new_snow,snow_water_equivalent,total_amount_of_water,rain_rate,virtual_lysimeter,sublimation_mass,evaporated_mass,stability_class,z_Sdef,deformation_rate_stability_index,z_Sn38,natural_stability_index,z_Sk38,Sk38_skier_stability_index,z_SSI,structural_stability_index
64.646,18.395,-15.32,0.0,246.275,184.181,-65.773,0.0,0.0,0.0,0.2,0.0,0.0,0.0,-7.73,-15.32,-15.32,81.5,1.0,1.0,329.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0
85.889,22.411,-15.03,0.0,246.265,176.537,-73.255,0.0,0.0,0.0,0.2,0.0,0.0,0.0,-9.0,-15.03,-15.03,83.1,1.1,1.1,326.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0
117.368,26.697,-16.36,0.0,243.521,172.281,-74.682,0.0,0.0,0.0,0.2,0.0,0.0,0.0,-9.72,-16.36,-16.36,82.9,1.2,1.2,326.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0
139.148,32.204,-16.71,0.0,240.813,167.897,-76.27,0.0,0.0,0.0,0.2,0.0,0.0,0.0,-10.95,-16.71,-16.71,85.5,1.3,1.3,325.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0
164.605,31.519,-17.41,0.0,238.686,162.182,-79.743,0.0,0.0,0.0,0.2,0.0,0.0,0.0,-12.13,-17.41,-17.41,82.4,1.4,1.4,326.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0
172.523,26.934,-16.98,0.0,238.709,157.564,-84.292,0.0,0.0,0.0,0.2,0.0,0.0,0.0,-12.86,-16.98,-16.98,80.6,1.5,1.5,324.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0
168.925,15.871,-16.17,0.0,241.209,155.222,-89.087,0.0,0.0,0.0,0.2,0.0,0.0,0.0,-13.04,-16.17,-16.17,77.9,1.6,1.6,324.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0
172.36,22.836,-16.95,0.0,240.519,162.303,-81.458,0.0,0.0,0.0,0.2,0.0,0.0,0.0,-10.24,-16.95,-16.95,77.6,1.3,1.3,327.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0
181.762,34.127,-16.22,0.0,241.133,166.402,-78.056,0.0,0.0,0.0,0.2,0.0,0.0,0.0,-10.48,-16.22,-16.22,78.1,1.5,1.5,325.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0
256.141,44.546,-16.96,0.0,240.425,165.877,-77.861,0.0,0.0,0.0,0.2,0.0,0.0,0.0,-10.56,-16.96,-16.96,78.4,1.7,1.7,324.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0
