timestamp,sensible_heat,latent_heat,ground_temperature,rain_energy,outgoing_long_wave_radiation,incoming_long_wave_radiation,reflected_short_wave_radiation,parametrized_albedo,diffuse_incoming_short_wave,air_temperature,relative_humidity,wind_velocity,wind_direction,solid_precipitation_rate,snow_height(mod),snow_height(meas),hoar_size,24h_height_of_new_snow,total_amount_of_water,sublimation_mass,evaporated_mass,z_Sn38,natural_stability_index,structural_stability_index
2024-01-02T00:00:00,0.8901510330236142,0.9421869472203532,0.1096232410349523,0.3048518315558741,0.2219989755184229,0.1287825351693078,0.0,0.0,0.0,0.2339994207935128,0.6738636363636363,0.5833333333333334,0.8805555555555555,0.0,0.0,0.9921188921414096,0.0,0.0,0.0,0.7182320441988951,0.7535211267605633,0.0,0.0049262663390505,0.0059562540667701
2024-01-02T01:00:00,0.8672002894659528,0.940590553647449,0.1366318656377667,0.3048518315558741,0.2340013070971843,0.1285810044117711,0.002917679031165,0.0,0.0113110072411838,0.2386330726904141,0.6465909090909092,0.5416666666666667,0.8944444444444445,0.0,0.0,0.9921188921414096,0.0,0.0,0.0,0.7182320441988951,0.7535211267605633,0.0,0.0049262663390505,0.0059562540667701
2024-01-02T02:00:00,0.8345729296500071,0.9395845987211298,0.2589650476622787,0.3048518315558741,0.2973999364114882,0.1611895572018769,0.0526682450643458,0.0,0.2041810616837624,0.3116130900666087,0.6659090909090909,0.5416666666666667,0.9,0.0,0.0,0.9921188921414096,0.0,0.0,0.0,0.7182320441988951,0.7535211267605633,0.0,0.0049262663390505,0.0059562540667701
2024-01-02T03:00:00,0.7877324393190185,0.9314301295605786,0.3440762596459373,0.3048518315558741,0.3730967605185996,0.1885670725028806,0.1526729009351402,0.0,0.5918678403730762,0.3159571387199537,0.7318181818181819,0.4583333333333333,0.9,0.0,0.0,0.9921188921414096,0.0,0.0,0.0,0.7182320441988951,0.7535211267605633,0.0,0.0049262663390505,0.0059562540667701
2024-01-02T04:00:00,0.7302659228288252,0.9129540302204112,0.4314571039491602,0.3048518315558741,0.4424833080156852,0.2144944425703058,0.2000308666989703,0.0,0.7754638047768283,0.3854619171734723,0.6136363636363636,0.2916666666666667,0.8416666666666667,0.0,0.0,0.9921188921414096,0.0,0.0,0.0,0.7182320441988951,0.7535211267605633,0.0,0.0049262663390505,0.0059562540667701
2024-01-02T05:00:00,0.7331525772156032,0.9125736194675884,0.4707217430776214,0.3048518315558741,0.4900068887554315,0.2641892987167747,0.2074492208314005,0.0,0.8042213053383677,0.4656820156385751,0.6034090909090909,0.2083333333333333,0.6972222222222223,0.0,0.0,0.9921188921414096,0.0,0.0,0.0,0.7182320441988951,0.7535211267605633,0.0,0.0049262663390505,0.0059562540667701
2024-01-02T06:00:00,0.7383751321849155,0.910766895367069,0.4788924194280526,0.3048518315558741,0.5067739428409933,0.2828221315820604,0.2148675749638308,0.0,0.832979474399153,0.4659716188821314,0.5647727272727273,0.2083333333333333,0.5861111111111111,0.0,0.0,0.9921188921414096,0.0,0.0,0.0,0.7182320441988951,0.7535211267605633,0.0,0.0049262663390505,0.0059562540667701
2024-01-02T07:00:00,0.7366468219184003,0.9126060012898254,0.4809350885156604,0.3048518315558741,0.5104700250821353,0.2878253516930774,0.222285929096261,0.0,0.8617376434599383,0.4697364610483637,0.6170454545454546,0.2083333333333333,0.5750000000000001,0.0,0.0,0.9921188921414096,0.0,0.0,0.0,0.7182320441988951,0.7535211267605633,0.0,0.0049262663390505,0.0059562540667701
2024-01-02T08:00:00,0.7458903599672428,0.911761652840839,0.4698138901497957,0.3048518315558741,0.5052063093934364,0.2846841005375614,0.2297034210303959,0.0,0.8904951440214776,0.4830582102519548,0.4886363636363636,0.25,0.5222222222222223,0.0,0.0,0.9921188921414096,0.0,0.0,0.0,0.7182320441988951,0.7535211267605633,0.0,0.0049262663390505,0.0059562540667701
2024-01-02T09:00:00,0.7454668879288053,0.9285850687115028,0.4139809350885156,0.3048518315558741,0.4723610767654643,0.2869053199738887,0.235262013439947,0.0,0.9192533130822628,0.492035910802201,0.5125000000000001,0.0833333333333333,0.4916666666666667,0.0,0.0,0.9921188921414096,0.0,0.0,0.0,0.7182320441988951,0.7535211267605633,0.0,0.0049262663390505,0.0059562540667701
2024-01-02T10:00:00,0.7403347910697832,0.9336290671341754,0.3254652746255106,0.3048518315558741,0.41001784011022,0.2644302594051337,0.1693616111382224,0.0,0.6565678713914411,0.4057341442224152,0.65,0.125,0.0,0.0,0.0,0.9921188921414096,0.0,0.0,0.0,0.7182320441988951,0.7535211267605633,0.0,0.0049262663390505,0.0059562540667701
2024-01-02T11:00:00,0.743266274254581,0.93402884645357,0.2408079891057649,0.3048518315558741,0.3423314021266824,0.2411490758062325,0.066007314890337,0.0,0.2558908153551603,0.3750362004054445,0.7363636363636363,0.2083333333333333,0.9444444444444444,0.0,0.0,0.9921188921414096,0.0,0.0,0.0,0.7182320441988951,0.7535211267605633,0.0,0.0049262663390505,0.0059562540667701
2024-01-02T12:00:00,0.7475962558347482,0.9345875085456232,0.2337721289151157,0.3048518315558741,0.3146792312855476,0.2239401015539774,0.0110206186100328,0.0,0.0427251238060603,0.3391253982044598,0.7829545454545456,0.25,0.9166666666666669,0.0,0.0,0.9921188921414096,0.0,0.0,0.0,0.7182320441988951,0.7535211267605633,0.0,0.0049262663390505,0.0059562540667701
